date,source_type,page,section,brand,offer,product_type
2026-06-21,品牌页,Trip.com,,Trip.com,15% off on UK Trains,UK & Europe Train Tickets
2026-06-21,品牌页,Trip.com,,Trip.com,Up to £20 OFF Flights,Flights
2026-06-21,品牌页,Trip.com,,Trip.com,Up to £50 Off Hotels,Hotels / Accommodation
2026-06-21,品牌页,Trip.com,,Trip.com,2% Off UK trains for existing users,UK & Europe Train Tickets
2026-06-21,品牌页,Trip.com,,Trip.com,20% off Railcard for new users,Railcard
2026-06-21,品牌页,Trip.com,,Trip.com,£4 UK Train for New User,UK & Europe Train Tickets
2026-06-21,品牌页,Trip.com,,Trip.com,5% Off Tours and Tickets,Tours & Tickets
2026-06-21,品牌页,Trip.com,,Trip.com,"6% Off Disneyland, Universal Studios, Sagrada Familia",Tours & Tickets
2026-06-21,品牌页,Trip.com,,Trip.com,10% Off eSim,eSIM / SIM
2026-06-21,品牌页,Trip.com,,Trip.com,5% Off UK trains for new users,UK & Europe Train Tickets
2026-06-21,品牌页,Trip.com,,Trip.com,11% Off Hotels in China,Hotels / Accommodation
2026-06-21,品牌页,Trip.com,,Trip.com,10% off Railcard for existing users,Railcard
2026-06-21,品牌页,Trip.com,,Trip.com,10% Off Car Rental,Car Rental
2026-06-21,品牌页,Trip.com,,Trip.com,5% Off Bus for new users,Bus / Coach
2026-06-21,品牌页,Trip.com,,Trip.com,5% off China Trains for new users,Asia Train / Railway
2026-06-21,品牌页,Trip.com,,Trip.com,6% Off Japan Railway for new users,Asia Train / Railway
2026-06-21,品牌页,Trip.com,,Trip.com,£8 off for New Users on Railcards,Railcard
2026-06-21,品牌页,Trainline,,Trainline,15% off the 16-25 Railcard,Railcard
2026-06-21,品牌页,Trainline,,Trainline,15% off the 26-30 Railcard,Railcard
2026-06-21,品牌页,Trainline,,Trainline,15% off the 16-17 Saver,Railcard
2026-06-21,品牌页,TrainPal,,TrainPal,Up to 10% off train fares,UK & Europe Train Tickets
2026-06-21,品牌页,TrainPal,,TrainPal,5% Off Trains for New Customer & 2% Off for Existing Customer,UK & Europe Train Tickets
2026-06-21,品牌页,TrainPal,,TrainPal,£4 off for New Customers & 2% off for Existing Customers on UK Train Tickets,UK & Europe Train Tickets
2026-06-21,品牌页,TrainPal,,TrainPal,Student Exclusive: 23% OFF Railcard,Railcard
2026-06-21,品牌页,TrainPal,,TrainPal,23% Off UK Railcard for New Customer & 10% Off for Existing Customer UK Railcard,Railcard
2026-06-21,品牌页,TrainPal,,TrainPal,20% Off UK Railcard for New Customer & 10% Off for Existing Customer UK Railcard,Railcard
2026-06-21,品牌页,Omio,,Omio,5% Student Discount for Existing Users,Other
2026-06-21,品牌页,Omio,,Omio,7% Student Discount for New Customers,Other
2026-06-21,品牌页,Klook,,Klook,18% Student Discount,Tours & Tickets
2026-06-21,品牌页,National Express,,National Express,Up to 20% Student Discount,Bus / Coach
2026-06-21,品牌页,FlixBus,,FlixBus,20% Student Discount,Bus / Coach
